index	title
1	“삼성바이오로직스 위탁생산 모더나 백신 10월 국내 공급될 듯”
2	삼성바이오로직스, MSD와 490억 위탁생산 의향서 체결
3	삼성·셀트리온 직원들, 5억씩 벌었다…송도에 무슨 일이
4	삼성전자, 상반기 고용 1위…삼성바이오·LG화학 등 뒤이어
5	삼성바이오로직스 위탁생산 모더나 백신, 내달 국내 공급되나?
6	삼성바이오로직스 생산 모더나 백신, 10월 중 국내 공급 가능성 제기
7	[특징주] 삼성바이오로직스 4% 하락 '올해 수주금액 8조 넘겨'
8	‘시총 4위’ 삼성바이오로직스, 5% 넘게 하락···“코로나 종식 전망에 백신 기대치 낮아져”
9	[제약부문대상(식품의약품안전처장상) - 삼성바이오로직스] ‘고품질 바이오’ 글로벌 경쟁력...백신 신약 미래 성장판
10	녹십자도 얀센 위탁생산 임박...백신 허브로 주목받는 K바이오
11	삼성바이오로직스, 5% 하락…87만원까지 내려가
12	삼성바이오, 로슈와 의약품 위탁생산 확대 계약
13	삼성물산 주식 매수의견 유지, "상사 패션 바이오 실적 턴어라운드"
14	삼성바이오로직스, 이틀새 호프만-라로슈 CMO 계약 11배 증액...391억 → 4444억
15	삼성바이오로직스, 위탁생산 본격 대형화…1년간 3천억 ‘7건’
16	진격의 삼성바이오로직스···올해만 6번째 수주물량 늘려
17	삼성바이오로직스, 의약품 위탁개발 플랫폼 개발·공개
18	[공시] 삼성바이오로직스, 로슈 위탁생산계약 규모 391억→2342억원 증가
19	삼성바이오로직스 주가 급락, SK바이오팜 셀트리온3사도 내려
20	[오늘의 주요공시] 삼성바이오로직스ㆍGS건설ㆍ게임빌 등
21	양정숙 "온라인 권리침해 신고 급증...네이버 부동의 1위"
22	네이버-IBK기업은행, 중소상공인 사업 지원 교육 참여자 접수
23	네이버-IBK, 소상공인 온라인 지원프로그램 운영
24	네이버클라우드, ‘2021 게임 X 컨퍼런스’ 10월15일 개최
25	기업은행, 네이버와 소상공인 지원 MOU
26	네이버 클로바, 美 IDEA 디자인 어워드서 수상
27	베스핀글로벌, 네이버웍스 신규 가입 독려
28	이베스트證 "네이버, 조정 과도하나 안정화 시간 필요…목표가 7%↓"
29	네이버-IBK기업은행, SME 온라인 사업 지원 교육 프로그램 운영
30	네이버 '비즈니스 스쿨' 소상공인에 무료 교육
31	카드사 노조 '빅테크 규제' 촉구…"네이버·카카오페이 수수료율 기울어진 운동장"
32	기조연설하는 네이버 AI 연구소장
33	네이버 투자 받은 아토머스, '디지털 치료제' 개발 나선다
34	“네이버-카카오, 규제 능사 아니다”…정부, 디지털 플랫폼 포럼 출범
35	임혜숙 장관 "네이버·카카오 사회기여 커..규제 신중해야"
36	네이버 한성숙 "소상공인 지원하는 것은 플랫폼의 역할…같이 가겠다"
37	네이버·카카오 국감 증인 줄소환…여야, 과방·복지·환노·산자위 채택(종합)
38	'대장동 의혹' 정무위 국감 증인 채택 '설전'…네이버 등 일반 증인 영향 받나
39	네이버웹툰, '상생' 바탕에 두고 세계로…K-웹콘텐츠 치고나간다
40	카카오·네이버 국감 집중표적… 플랫폼 CEO 망신주기 우려
41	삼성, 네덜란드서 540억 과징금…평택에 53층 사무동 추진
42	삼성 갤 Z폴드3, 차량 디지털 키로…제네시스 'GV60' 최초 지원
43	삼성전자, 제네시스 첫 전기차 'GV60' 디지털 키 지원
44	삼성전자, 5G 음성통화 핵심 솔루션 개발…글로벌 상용화 속도
45	삼성, 공정위 '급식 몰아주기' 제재에 행정소송 맞불
46	현대리바트, 삼성전자와 파트너십 체결
47	삼성전자, 3분기 실적 시장 기대치 상회 예상-한투
